VUTTI INNERWEARS-(25-26),,,,,,
"39/317-3, Y JUNCTION, KADAPA",,,,,,
Stock Summary,,,,,,
1-Apr-25 to 22-Feb-26,,,,,,
,1-VUTTI INNERWEARS - (25-26),,,,,
Particulars,1-Apr-25 to 22-Feb-26,,,,,
,Closing Balance,,,,,
,HSN,GSTRate,MRP,Value,,Value
142,1406-DKPTD-S (8901326038192),,5,549.00,2945.68,549.00
143,1406-DKPTD-XL (8901326038222),,5,558.00,8575.61,558.00
144,1406-DKPTD-XXL (8901326038239),,0,570.00,6499.10,570.00
145,1545-CNAVY-L (8901326327654),,5,699.00,,699.00
146,1545-CNAVY-M (8901326327661),,5,699.00,,699.00
147,1545-CNAVY-S (8901326327678),,5,699.00,,699.00
148,1545-CNAVY-XL (8901326327685),,5,709.00,475.52,709.00
149,1545-WHITE-L (8901326327692),,5,699.00,,699.00
150,1545-WHITE-M (8901326327708),,5,699.00,,699.00
151,1545-WHITE-S (8901326327715),,5,699.00,,699.00
152,1545-WHITE-XL (8901326327722),,5,709.00,,709.00
153,1545-WSKIN-M (8901326327746),,5,699.00,,699.00
154,1550-ANGFL-L (8901326452967),,0,429.00,575.44,429.00
155,1550-ANGFL-M (8901326452950),,0,429.00,863.16,429.00
156,1550-ANGFL-S (8901326452943),,0,429.00,863.16,429.00
157,1550-ANGFL-XL,,0,,,
158,1550-BLACK-L (8901326313572),,0,429.00,2301.76,429.00
159,1550-BLACK-M (8901326313565),,5,429.00,2014.04,429.00
160,1550-BLACK-S (8901326313558),,5,429.00,2014.04,429.00
161,1550-BLACK-XL (8901326313589),,5,439.00,294.44,439.00
162,1550-BTRED-L (8901326420867),,0,429.00,1150.88,429.00
163,1550-BTRED-M (8901326420874),,5,429.00,3164.92,429.00
164,1550-BTRED-S (8901326420881),,5,429.00,1726.32,429.00
165,1550-BTRED-XL (8901326420898),,5,439.00,294.44,439.00
166,1550-CRNBL-L (8901326420829),,5,429.00,1726.32,429.00
167,1550-CRNBL-M (8901326420836),,5,429.00,2301.76,429.00
168,1550-CRNBL-S (8901326420843),,0,429.00,1726.32,429.00
169,1550-CRNBL-XL (8901326420850),,5,439.00,294.44,439.00
170,1550-STGML-L (8901326313657),,5,429.00,2301.76,429.00
171,1550-STGML-M (8901326313640),,5,429.00,2301.76,429.00
172,1550-STGML-S (8901326313633),,5,429.00,2014.04,429.00
173,1550-STGML-XL (8901326313664),,0,439.00,588.88,439.00
174,1550-WHITE-L (8901326313695),,5,429.00,2877.20,429.00
175,1550-WHITE-M (8901326313688),,5,429.00,3740.36,429.00
176,1550-WHITE-S (8901326313671),,5,429.00,3164.92,429.00
177,1550-WHITE-XL (8901326313701),,5,439.00,883.32,439.00
178,1550-WSKIN-L (8901326313732),,5,429.00,3740.36,429.00
179,1550-WSKIN-M (8901326313725),,0,429.00,2301.76,429.00
180,1550-WSKIN-S (8901326313718),,5,429.00,3164.92,429.00
181,1550-WSKIN-XL (8901326313749),,5,439.00,588.88,439.00
182,1615-B-36 (8901326272336),62121000,5,629.00,,629.00
183,1722-ANGFL-34B (8901326464311),,0,579.00,388.33,579.00
184,1722-ANGFL-38C (8901326464366),,0,579.00,388.33,579.00
185,1722-BLACK-32B (8901326068304),,0,579.00,388.32,579.00
186,1722-BLACK-32C (8901326068311),62121000,5,579.00,388.32,579.00
187,1722-BLACK-34C (8901326068335),0105,5,579.00,388.32,579.00
188,1722-BLACK-36C (8901326068359),0105,5,579.00,776.64,579.00
189,1722-BLACK-38C (8901326068373),0105,5,579.00,776.65,579.00
190,1722-BTRED-32C (8901326197813),0105,5,579.00,388.33,579.00
191,1722-BTRED-34B (8901326197820),,0,579.00,776.66,579.00
192,1722-BTRED-36B (8901326197844),,0,579.00,,579.00
193,1722-BTRED-36C (8901326197851),0105,5,579.00,1164.98,579.00
194,1722-BTRED-38C (8901326197875),0105,5,579.00,,579.00
195,1722-CALTP-32B (8901326313909),,0,579.00,388.33,579.00
196,1722-CALTP-32C (8901326313916),,0,579.00,776.66,579.00
197,1722-CALTP-34B (8901326313923),,0,579.00,1164.99,579.00
198,1722-CALTP-36B (8901326313947),,0,579.00,1164.99,579.00
199,1722-CALTP-36C (8901326313954),,0,579.00,1164.99,579.00
200,1722-CALTP-38B (8901326313961),,0,579.00,1941.65,579.00
201,1722-CNAVY-32B (8901326313992),,0,579.00,1164.98,579.00
202,1722-CNAVY-32C (8901326314005),62121000,5,579.00,388.33,579.00
203,1722-CNAVY-34B (8901326314012),,0,579.00,388.33,579.00
204,1722-CNAVY-34C (8901326314029),0105,5,579.00,1164.96,579.00
205,1722-CNAVY-36C (8901326314043),0105,5,579.00,388.33,579.00
206,1722-CNAVY-38B (8901326314050),,0,579.00,388.33,579.00
207,1722-CNAVY-38C (8901326314067),0105,5,579.00,388.33,579.00
208,1722-DPTPE-34 (8901326464434),,0,579.00,776.66,579.00
209,1722-DPTPE-38C (8901326464489),,0,579.00,388.33,579.00
